"Id","TagName","Count","ExcerptPostId","WikiPostId"
"1","online-relationships","13","531","530"
"4","public-issues","65","399","398"
"5","work-environment","261","111","110"
"7","friend-groups","59","65","64"
"9","memory","2","",""
"11","europe","74","338","337"
"13","irony","2","",""
"14","difficult-people","111","320","319"
"15","conflicts","170","336","335"
"16","sarcasm","2","4569","4568"
"21","email","32","229","228"
"22","conversations","520","383","382"
"24","introverts","22","2145","2144"
"26","conflict-aversion","321","385","384"
"31","approach","55","5336","5335"
"42","relationships","398","405","404"
"43","romance","68","447","446"
"46","speaking","8","",""
"47","anger","15","9669","9668"
"48","discussions","3","",""
"49","family","248","113","112"
"51","parents","107","576","575"
"52","autism","36","2209","2208"
"53","awkward-situations","272","108","107"
"57","rejection","8","4916","4915"
"61","united-states","405","342","341"
"62","public-transportation","26","312","311"
"65","delegation","2","",""
"67","tasks","4","",""
"68","personal-hygiene","18","427","426"
"69","leadership","6","",""
"70","shyness","13","401","400"
"71","saying-no","113","181","180"
"73","depression","28","442","441"
"74","online-interaction","86","304","303"
"76","college","24","1242","1241"
"78","humor","4","",""
"79","acquaintances","48","279","278"
"80","professionalism","31","1211","1210"
"81","friends","468","276","275"
"83","cars","7","317","316"
"84","groups","22","5054","5053"
"86","apologies","35","387","386"
"87","asperger","21","196","195"
"88","literal-language","3","",""
"89","introductions","12","4254","4253"
"91","age","8","231","230"
"92","honorifics","5","547","546"
"93","cross-culture","23","4907","4906"
"95","social-media","31","233","232"
"97","boundaries","120","600","599"
"98","extrovert","3","",""
"99","terminology","2","2655","2654"
"102","requests","17","5345","5344"
"104","strangers","60","1228","1227"
"106","dances","4","622","621"
"107","parties","27","306","305"
"108","flirting","12","",""
"110","religion","37","558","557"
"113","young-adults","4","967","966"
"115","phone-calls","32","4901","4900"
"117","rudeness","62","274","273"
"120","money","105","340","339"
"121","active-listening","4","4829","4828"
"122","grief","12","2995","2994"
"123","socializing","94","2143","2142"
"126","pressure","3","",""
"127","gender","37","1940","1939"
